date_dec,ndec,ADEC,MDEC,md_dec,ndec_fem,ndec_hom,periode,weekday_dec,weekend
2016-03-15,9.80645161290323,2016,3,03-15,2.58064516129032,7.2258064516129,1,Tue,0
2016-03-16,9.80645161290323,2016,3,03-16,2.58064516129032,7.2258064516129,1,Wed,0
2016-03-17,9.80645161290323,2016,3,03-17,2.58064516129032,7.2258064516129,2,Thu,0
2016-03-18,9.80645161290323,2016,3,03-18,2.58064516129032,7.2258064516129,2,Fri,0
2016-03-19,9.80645161290323,2016,3,03-19,2.58064516129032,7.2258064516129,2,Sat,1
2016-03-20,9.80645161290323,2016,3,03-20,2.58064516129032,7.2258064516129,2,Sun,1
2016-03-21,9.80645161290323,2016,3,03-21,2.58064516129032,7.2258064516129,2,Mon,0
2016-03-22,9.80645161290323,2016,3,03-22,2.58064516129032,7.2258064516129,2,Tue,0
2016-03-23,9.80645161290323,2016,3,03-23,2.58064516129032,7.2258064516129,2,Wed,0
2016-03-24,9.80645161290323,2016,3,03-24,2.58064516129032,7.2258064516129,2,Thu,0
2016-03-25,9.80645161290323,2016,3,03-25,2.58064516129032,7.2258064516129,2,Fri,0
2016-03-26,9.80645161290323,2016,3,03-26,2.58064516129032,7.2258064516129,2,Sat,1
2016-03-27,9.80645161290323,2016,3,03-27,2.58064516129032,7.2258064516129,2,Sun,1
2016-03-28,9.80645161290323,2016,3,03-28,2.58064516129032,7.2258064516129,2,Mon,0
2016-03-29,9.80645161290323,2016,3,03-29,2.58064516129032,7.2258064516129,2,Tue,0
2016-03-30,9.80645161290323,2016,3,03-30,2.58064516129032,7.2258064516129,2,Wed,0
2016-03-31,9.80645161290323,2016,3,03-31,2.58064516129032,7.2258064516129,2,Thu,0
2016-04-01,9.23333333333333,2016,4,04-01,2.5,6.73333333333333,2,Fri,0
2016-04-02,9.23333333333333,2016,4,04-02,2.5,6.73333333333333,2,Sat,1
2016-04-03,9.23333333333333,2016,4,04-03,2.5,6.73333333333333,2,Sun,1
2016-04-04,9.23333333333333,2016,4,04-04,2.5,6.73333333333333,2,Mon,0
2016-04-05,9.23333333333333,2016,4,04-05,2.5,6.73333333333333,2,Tue,0
2016-04-06,9.23333333333333,2016,4,04-06,2.5,6.73333333333333,2,Wed,0
2016-04-07,9.23333333333333,2016,4,04-07,2.5,6.73333333333333,2,Thu,0
2016-04-08,9.23333333333333,2016,4,04-08,2.5,6.73333333333333,2,Fri,0
2016-04-09,9.23333333333333,2016,4,04-09,2.5,6.73333333333333,2,Sat,1
2016-04-10,9.23333333333333,2016,4,04-10,2.5,6.73333333333333,2,Sun,1
2016-04-11,9.23333333333333,2016,4,04-11,2.5,6.73333333333333,2,Mon,0
2016-04-12,9.23333333333333,2016,4,04-12,2.5,6.73333333333333,2,Tue,0
2016-04-13,9.23333333333333,2016,4,04-13,2.5,6.73333333333333,2,Wed,0
2016-04-14,9.23333333333333,2016,4,04-14,2.5,6.73333333333333,2,Thu,0
2016-04-15,9.23333333333333,2016,4,04-15,2.5,6.73333333333333,2,Fri,0
2016-04-16,9.23333333333333,2016,4,04-16,2.5,6.73333333333333,2,Sat,1
2016-04-17,9.23333333333333,2016,4,04-17,2.5,6.73333333333333,2,Sun,1
2016-04-18,9.23333333333333,2016,4,04-18,2.5,6.73333333333333,2,Mon,0
2016-04-19,9.23333333333333,2016,4,04-19,2.5,6.73333333333333,2,Tue,0
2016-04-20,9.23333333333333,2016,4,04-20,2.5,6.73333333333333,2,Wed,0
2016-04-21,9.23333333333333,2016,4,04-21,2.5,6.73333333333333,2,Thu,0
2016-04-22,9.23333333333333,2016,4,04-22,2.5,6.73333333333333,2,Fri,0
2016-04-23,9.23333333333333,2016,4,04-23,2.5,6.73333333333333,2,Sat,1
2016-04-24,9.23333333333333,2016,4,04-24,2.5,6.73333333333333,2,Sun,1
2016-04-25,9.23333333333333,2016,4,04-25,2.5,6.73333333333333,2,Mon,0
2016-04-26,9.23333333333333,2016,4,04-26,2.5,6.73333333333333,2,Tue,0
2016-04-27,9.23333333333333,2016,4,04-27,2.5,6.73333333333333,2,Wed,0
2016-04-28,9.23333333333333,2016,4,04-28,2.5,6.73333333333333,2,Thu,0
2016-04-29,9.23333333333333,2016,4,04-29,2.5,6.73333333333333,2,Fri,0
2016-04-30,9.23333333333333,2016,4,04-30,2.5,6.73333333333333,2,Sat,1
2016-05-01,8.58064516129032,2016,5,05-01,2.16129032258065,6.41935483870968,2,Sun,1
2016-05-02,8.58064516129032,2016,5,05-02,2.16129032258065,6.41935483870968,2,Mon,0
2016-05-03,8.58064516129032,2016,5,05-03,2.16129032258065,6.41935483870968,2,Tue,0
2016-05-04,8.58064516129032,2016,5,05-04,2.16129032258065,6.41935483870968,2,Wed,0
2016-05-05,8.58064516129032,2016,5,05-05,2.16129032258065,6.41935483870968,2,Thu,0
2016-05-06,8.58064516129032,2016,5,05-06,2.16129032258065,6.41935483870968,2,Fri,0
2016-05-07,8.58064516129032,2016,5,05-07,2.16129032258065,6.41935483870968,2,Sat,1
2016-05-08,8.58064516129032,2016,5,05-08,2.16129032258065,6.41935483870968,2,Sun,1
2016-05-09,8.58064516129032,2016,5,05-09,2.16129032258065,6.41935483870968,2,Mon,0
2016-05-10,8.58064516129032,2016,5,05-10,2.16129032258065,6.41935483870968,2,Tue,0
2016-05-11,8.58064516129032,2016,5,05-11,2.16129032258065,6.41935483870968,3,Wed,0
